file,db,alpha,raw_nfiq2,stage1_contrast_nfiq2,stage2_noise_nfiq2,stage3_orientation_nfiq2
105_5.tif,DB1_B,0.0,64.0,70.0,51.0,60.0
105_6.tif,DB1_B,0.0,50.0,41.0,36.0,43.0
105_7.tif,DB1_B,0.0,73.0,72.0,59.0,52.0
105_8.tif,DB1_B,1.0,64.0,43.0,48.0,59.0
106_1.tif,DB1_B,0.0,81.0,75.0,65.0,74.0
106_2.tif,DB1_B,0.0,73.0,78.0,56.0,72.0
106_3.tif,DB1_B,0.0,79.0,74.0,64.0,76.0
106_4.tif,DB1_B,0.0,77.0,68.0,61.0,68.0
106_5.tif,DB1_B,0.0,71.0,64.0,61.0,65.0
106_6.tif,DB1_B,0.0,72.0,65.0,55.0,61.0
106_7.tif,DB1_B,0.0,76.0,76.0,72.0,71.0
106_8.tif,DB1_B,0.5079809555124856,71.0,57.0,53.0,64.0
107_1.tif,DB1_B,0.251540446991389,71.0,73.0,69.0,53.0
107_2.tif,DB1_B,0.2003413807361643,74.0,56.0,60.0,74.0
107_3.tif,DB1_B,0.4265898716959283,54.0,72.0,68.0,70.0
107_4.tif,DB1_B,0.0,73.0,80.0,66.0,65.0
107_5.tif,DB1_B,0.0,60.0,48.0,55.0,49.0
107_6.tif,DB1_B,0.0,73.0,67.0,59.0,71.0
107_7.tif,DB1_B,0.0,76.0,68.0,64.0,59.0
107_8.tif,DB1_B,1.0,51.0,50.0,48.0,35.0
108_1.tif,DB1_B,0.16282656677489968,71.0,75.0,64.0,66.0
108_2.tif,DB1_B,0.0,79.0,63.0,50.0,63.0
108_3.tif,DB1_B,0.26789240977671414,82.0,71.0,70.0,62.0
108_4.tif,DB1_B,0.0,75.0,80.0,76.0,76.0
108_5.tif,DB1_B,0.39563040617008566,44.0,51.0,69.0,73.0
108_6.tif,DB1_B,0.0,78.0,50.0,64.0,58.0
108_7.tif,DB1_B,0.3003288963417184,68.0,56.0,54.0,75.0
108_8.tif,DB1_B,0.2854295370490798,79.0,64.0,54.0,55.0
109_1.tif,DB1_B,0.7621197979277545,42.0,46.0,40.0,43.0
109_2.tif,DB1_B,0.57264340158407,67.0,62.0,60.0,52.0
109_3.tif,DB1_B,1.0,37.0,41.0,51.0,42.0
109_4.tif,DB1_B,0.9785412847797379,27.0,34.0,39.0,36.0
109_5.tif,DB1_B,0.6641676804402059,57.0,50.0,43.0,56.0
109_6.tif,DB1_B,1.0,15.0,19.0,19.0,22.0
109_7.tif,DB1_B,0.0,65.0,73.0,72.0,59.0
109_8.tif,DB1_B,1.0,33.0,28.0,27.0,22.0
110_1.tif,DB1_B,1.0,49.0,49.0,49.0,52.0
110_2.tif,DB1_B,1.0,53.0,42.0,62.0,54.0
110_3.tif,DB1_B,1.0,53.0,50.0,55.0,59.0
110_4.tif,DB1_B,1.0,51.0,50.0,64.0,54.0
110_5.tif,DB1_B,1.0,55.0,45.0,52.0,58.0
110_6.tif,DB1_B,0.986535673857936,54.0,53.0,60.0,55.0
110_7.tif,DB1_B,0.29015992326205103,81.0,74.0,60.0,70.0
110_8.tif,DB1_B,1.0,61.0,60.0,63.0,55.0
101_1.tif,DB2_B,0.0,71.0,84.0,79.0,89.0
101_2.tif,DB2_B,0.0,70.0,86.0,75.0,83.0
101_3.tif,DB2_B,0.0,59.0,77.0,67.0,72.0
101_4.tif,DB2_B,0.0,68.0,72.0,68.0,73.0
101_5.tif,DB2_B,0.0,75.0,76.0,67.0,73.0
101_6.tif,DB2_B,0.0,63.0,65.0,58.0,59.0
101_7.tif,DB2_B,0.34623509290866245,21.0,47.0,49.0,39.0
101_8.tif,DB2_B,0.3397480799910158,21.0,37.0,60.0,68.0
102_1.tif,DB2_B,0.0,68.0,83.0,66.0,77.0
102_2.tif,DB2_B,0.0,63.0,59.0,59.0,68.0
102_3.tif,DB2_B,0.0,63.0,79.0,83.0,83.0
102_4.tif,DB2_B,0.0,60.0,78.0,61.0,72.0
102_5.tif,DB2_B,0.0,73.0,74.0,67.0,71.0
102_6.tif,DB2_B,0.0,66.0,77.0,70.0,76.0
102_7.tif,DB2_B,0.0,78.0,80.0,64.0,75.0
102_8.tif,DB2_B,0.2327079316580857,57.0,61.0,75.0,72.0
103_1.tif,DB2_B,0.0,56.0,72.0,61.0,78.0
103_2.tif,DB2_B,0.0,48.0,62.0,72.0,82.0
103_3.tif,DB2_B,0.0,56.0,51.0,46.0,43.0
103_4.tif,DB2_B,0.0,55.0,72.0,59.0,69.0
103_5.tif,DB2_B,0.16138974074148607,40.0,49.0,56.0,49.0
103_6.tif,DB2_B,0.0,48.0,65.0,50.0,54.0
103_7.tif,DB2_B,0.0,49.0,74.0,58.0,52.0
103_8.tif,DB2_B,0.07515213745989893,38.0,54.0,57.0,55.0
104_1.tif,DB2_B,0.0,58.0,69.0,63.0,64.0
104_2.tif,DB2_B,0.0,64.0,60.0,60.0,57.0
104_3.tif,DB2_B,0.0,82.0,76.0,70.0,74.0
104_4.tif,DB2_B,0.0,65.0,75.0,62.0,63.0
104_5.tif,DB2_B,0.653121585622967,54.0,55.0,53.0,50.0
104_6.tif,DB2_B,0.0,61.0,62.0,69.0,71.0
104_7.tif,DB2_B,0.0,69.0,52.0,48.0,53.0
104_8.tif,DB2_B,1.0,17.0,38.0,46.0,30.0
105_1.tif,DB2_B,0.0,62.0,71.0,80.0,75.0
105_2.tif,DB2_B,0.0,63.0,63.0,60.0,61.0
105_3.tif,DB2_B,0.0,59.0,59.0,68.0,67.0
105_4.tif,DB2_B,0.0,56.0,55.0,60.0,61.0
105_5.tif,DB2_B,0.2879962514353795,31.0,29.0,37.0,41.0
105_6.tif,DB2_B,0.0,52.0,52.0,70.0,54.0
105_7.tif,DB2_B,0.8672326094100079,32.0,55.0,61.0,63.0
105_8.tif,DB2_B,0.9023557587742824,38.0,51.0,59.0,59.0
106_1.tif,DB2_B,0.0,44.0,70.0,69.0,78.0
106_2.tif,DB2_B,0.0,68.0,76.0,79.0,84.0
106_3.tif,DB2_B,0.0,66.0,68.0,68.0,71.0
106_4.tif,DB2_B,0.0,52.0,69.0,69.0,69.0
106_5.tif,DB2_B,0.0,55.0,57.0,61.0,73.0
106_6.tif,DB2_B,0.052787547068149844,43.0,53.0,55.0,64.0
106_7.tif,DB2_B,0.0,59.0,56.0,50.0,49.0
106_8.tif,DB2_B,0.23315485436659864,50.0,72.0,61.0,68.0
107_1.tif,DB2_B,0.7419653585417159,36.0,62.0,62.0,64.0
107_2.tif,DB2_B,0.38496617407418293,64.0,73.0,79.0,70.0
107_3.tif,DB2_B,0.0948996058439054,74.0,76.0,84.0,85.0
107_4.tif,DB2_B,0.058954763535520545,64.0,79.0,89.0,87.0
107_5.tif,DB2_B,0.5691324372373554,34.0,64.0,62.0,59.0
107_6.tif,DB2_B,0.1301618001744769,33.0,59.0,52.0,51.0
107_7.tif,DB2_B,0.07383953949597959,53.0,76.0,68.0,79.0
107_8.tif,DB2_B,0.0,66.0,72.0,64.0,69.0
108_1.tif,DB2_B,0.0,61.0,66.0,61.0,67.0
108_2.tif,DB2_B,0.0,58.0,70.0,69.0,74.0
108_3.tif,DB2_B,0.1352644785148793,46.0,51.0,56.0,58.0
108_4.tif,DB2_B,0.0,55.0,71.0,66.0,69.0
108_5.tif,DB2_B,0.24120430749628372,52.0,61.0,70.0,66.0
108_6.tif,DB2_B,0.0,58.0,63.0,59.0,60.0
108_7.tif,DB2_B,0.0,68.0,69.0,71.0,77.0
108_8.tif,DB2_B,0.38318660525237974,35.0,61.0,59.0,62.0
109_1.tif,DB2_B,0.0,32.0,37.0,39.0,41.0
109_2.tif,DB2_B,0.01999172440084431,47.0,55.0,55.0,54.0
109_3.tif,DB2_B,0.0,48.0,47.0,46.0,47.0
109_4.tif,DB2_B,0.0,41.0,44.0,44.0,57.0
109_5.tif,DB2_B,0.0,52.0,46.0,39.0,35.0
109_6.tif,DB2_B,0.8717875729600716,17.0,24.0,52.0,42.0
109_7.tif,DB2_B,0.4545243764333769,21.0,46.0,53.0,54.0
109_8.tif,DB2_B,1.0,9.0,15.0,26.0,23.0
110_1.tif,DB2_B,0.0,47.0,66.0,61.0,66.0
110_2.tif,DB2_B,0.2728277434766501,43.0,57.0,54.0,70.0
110_3.tif,DB2_B,0.048652619106856775,33.0,67.0,58.0,60.0
110_4.tif,DB2_B,0.3175793219558082,30.0,41.0,60.0,50.0
110_5.tif,DB2_B,0.4252777398652108,33.0,38.0,44.0,43.0
110_6.tif,DB2_B,0.495231785080877,24.0,31.0,48.0,32.0
110_7.tif,DB2_B,0.1399448035270762,26.0,71.0,77.0,73.0
110_8.tif,DB2_B,0.9159101068547396,10.0,20.0,44.0,32.0
101_1.tif,DB3_B,0.11341515641418778,40.0,39.0,56.0,46.0
101_2.tif,DB3_B,0.21903322685974694,32.0,37.0,55.0,61.0
101_3.tif,DB3_B,0.21624540455301766,38.0,50.0,65.0,52.0
101_4.tif,DB3_B,0.615661103740051,17.0,40.0,54.0,49.0
101_5.tif,DB3_B,0.028862785260609484,42.0,35.0,38.0,29.0
101_6.tif,DB3_B,0.5124596359248025,38.0,43.0,46.0,43.0
101_7.tif,DB3_B,0.6155826668852854,30.0,29.0,48.0,48.0
101_8.tif,DB3_B,1.0,20.0,28.0,55.0,63.0
102_1.tif,DB3_B,0.32999093807997326,21.0,36.0,65.0,57.0
102_2.tif,DB3_B,0.8316816196089123,19.0,38.0,44.0,47.0
102_3.tif,DB3_B,0.7582720580541822,21.0,43.0,61.0,49.0
102_4.tif,DB3_B,0.46219804571404854,26.0,42.0,69.0,67.0
102_5.tif,DB3_B,0.0,44.0,43.0,47.0,38.0
102_6.tif,DB3_B,0.0,45.0,48.0,67.0,53.0
102_7.tif,DB3_B,1.0,12.0,17.0,50.0,47.0
102_8.tif,DB3_B,0.8234136251454389,15.0,28.0,55.0,47.0
103_1.tif,DB3_B,0.2998447186692466,30.0,44.0,57.0,55.0
103_2.tif,DB3_B,0.11765108177473459,28.0,49.0,50.0,57.0
103_3.tif,DB3_B,0.0,36.0,39.0,47.0,46.0
103_4.tif,DB3_B,0.0,52.0,50.0,66.0,69.0
103_5.tif,DB3_B,0.021471641981226267,38.0,38.0,50.0,56.0
103_6.tif,DB3_B,0.1907033397539756,14.0,32.0,55.0,43.0
103_7.tif,DB3_B,0.8071673744759278,28.0,31.0,42.0,31.0
103_8.tif,DB3_B,0.9428664681639581,20.0,24.0,47.0,46.0
104_1.tif,DB3_B,0.05869005748756112,34.0,36.0,37.0,46.0
104_2.tif,DB3_B,0.0,34.0,33.0,52.0,38.0
104_3.tif,DB3_B,0.0,19.0,34.0,35.0,37.0
104_4.tif,DB3_B,1.0,18.0,22.0,43.0,50.0
104_5.tif,DB3_B,0.0,39.0,52.0,78.0,68.0
104_6.tif,DB3_B,0.6717991270318837,26.0,42.0,38.0,37.0
104_7.tif,DB3_B,0.565436834476938,23.0,30.0,39.0,32.0
104_8.tif,DB3_B,0.7034033045269559,26.0,28.0,44.0,40.0
105_1.tif,DB3_B,0.6755022579122648,15.0,35.0,52.0,58.0
105_2.tif,DB3_B,0.7844563675920906,20.0,35.0,39.0,38.0
105_3.tif,DB3_B,0.49814031584005336,18.0,38.0,58.0,54.0
105_4.tif,DB3_B,0.041634969617004226,48.0,45.0,56.0,49.0
105_5.tif,DB3_B,0.0,35.0,52.0,53.0,47.0
105_6.tif,DB3_B,0.0,33.0,37.0,59.0,52.0
105_7.tif,DB3_B,0.6808166825178551,32.0,28.0,42.0,47.0
105_8.tif,DB3_B,0.9352220867766446,32.0,31.0,41.0,38.0
106_1.tif,DB3_B,0.0,34.0,39.0,52.0,52.0
106_2.tif,DB3_B,0.00651437350332647,32.0,30.0,42.0,35.0
106_3.tif,DB3_B,0.0,29.0,36.0,40.0,50.0
106_4.tif,DB3_B,0.0,40.0,30.0,50.0,43.0
106_5.tif,DB3_B,1.0,19.0,35.0,46.0,41.0
106_6.tif,DB3_B,1.0,22.0,22.0,50.0,40.0
106_7.tif,DB3_B,1.0,14.0,13.0,37.0,34.0
106_8.tif,DB3_B,1.0,9.0,7.0,26.0,21.0
107_1.tif,DB3_B,0.23777587487670984,29.0,32.0,36.0,39.0
107_2.tif,DB3_B,0.7688078505731553,14.0,32.0,52.0,52.0
107_3.tif,DB3_B,0.7978488425617576,16.0,24.0,52.0,54.0
107_4.tif,DB3_B,0.0,32.0,29.0,41.0,32.0
107_5.tif,DB3_B,0.6941938345417427,26.0,42.0,54.0,50.0
107_6.tif,DB3_B,0.7734728596326134,16.0,43.0,54.0,56.0
107_7.tif,DB3_B,1.0,12.0,14.0,31.0,16.0
107_8.tif,DB3_B,1.0,9.0,13.0,28.0,18.0
108_1.tif,DB3_B,0.44813693820169176,33.0,18.0,20.0,18.0
108_2.tif,DB3_B,0.9182170734772033,24.0,10.0,22.0,17.0
108_3.tif,DB3_B,0.9396474470716433,5.0,12.0,26.0,16.0
108_4.tif,DB3_B,1.0,9.0,10.0,17.0,12.0
108_5.tif,DB3_B,0.0,27.0,30.0,46.0,46.0
108_6.tif,DB3_B,0.0,37.0,35.0,29.0,42.0
108_7.tif,DB3_B,0.1189150211356435,18.0,30.0,45.0,39.0
108_8.tif,DB3_B,0.31040727646120836,19.0,24.0,30.0,23.0
109_1.tif,DB3_B,1.0,11.0,27.0,37.0,44.0
109_2.tif,DB3_B,1.0,17.0,22.0,47.0,43.0
109_3.tif,DB3_B,1.0,15.0,20.0,38.0,40.0
109_4.tif,DB3_B,1.0,20.0,22.0,26.0,24.0
109_5.tif,DB3_B,0.0,31.0,37.0,47.0,49.0
109_6.tif,DB3_B,0.0,38.0,44.0,53.0,44.0
109_7.tif,DB3_B,1.0,11.0,19.0,44.0,40.0
109_8.tif,DB3_B,1.0,16.0,22.0,37.0,32.0
110_1.tif,DB3_B,1.0,12.0,26.0,38.0,37.0
110_2.tif,DB3_B,1.0,17.0,22.0,34.0,36.0
110_3.tif,DB3_B,1.0,11.0,17.0,15.0,16.0
110_4.tif,DB3_B,1.0,19.0,30.0,40.0,32.0
110_5.tif,DB3_B,1.0,,17.0,23.0,24.0
110_6.tif,DB3_B,1.0,18.0,23.0,36.0,32.0
110_7.tif,DB3_B,1.0,17.0,13.0,46.0,42.0
110_8.tif,DB3_B,1.0,11.0,20.0,49.0,36.0
101_1.tif,DB4_B,0.8069547366058254,39.0,45.0,48.0,42.0
101_2.tif,DB4_B,0.3883511389417368,39.0,37.0,42.0,42.0
101_3.tif,DB4_B,0.5726638209648007,42.0,54.0,50.0,57.0
101_4.tif,DB4_B,0.182393069811956,50.0,43.0,48.0,52.0
101_5.tif,DB4_B,0.48051405474327563,37.0,34.0,52.0,38.0
101_6.tif,DB4_B,0.6394976928456677,37.0,42.0,50.0,50.0
101_7.tif,DB4_B,0.35894211994921377,37.0,33.0,43.0,41.0
101_8.tif,DB4_B,0.6402995597712148,35.0,38.0,35.0,45.0
102_1.tif,DB4_B,0.419959178301817,44.0,43.0,64.0,62.0
102_2.tif,DB4_B,0.6889423880175998,42.0,55.0,59.0,58.0
102_3.tif,DB4_B,0.7451834202242069,27.0,51.0,60.0,65.0
102_4.tif,DB4_B,0.7027498190336265,38.0,40.0,55.0,54.0
102_5.tif,DB4_B,0.7088515170999471,29.0,43.0,50.0,54.0
102_6.tif,DB4_B,0.45727941258418453,46.0,50.0,42.0,46.0
102_7.tif,DB4_B,0.6619042425237721,31.0,39.0,60.0,54.0
102_8.tif,DB4_B,0.461925190225011,51.0,51.0,57.0,61.0
103_1.tif,DB4_B,0.0,44.0,49.0,44.0,51.0
103_2.tif,DB4_B,0.0,43.0,44.0,39.0,47.0
103_3.tif,DB4_B,0.0,46.0,41.0,49.0,50.0
103_4.tif,DB4_B,0.0,34.0,55.0,50.0,43.0
103_5.tif,DB4_B,0.0,44.0,42.0,46.0,44.0
103_6.tif,DB4_B,0.0,38.0,45.0,45.0,44.0
103_7.tif,DB4_B,0.0,43.0,47.0,46.0,45.0
103_8.tif,DB4_B,0.017816639668997523,39.0,45.0,48.0,49.0
104_1.tif,DB4_B,1.0,20.0,32.0,60.0,53.0
104_2.tif,DB4_B,0.8863035551290253,40.0,33.0,61.0,65.0
104_3.tif,DB4_B,1.0,46.0,45.0,63.0,61.0
104_4.tif,DB4_B,0.6334987495661204,45.0,38.0,43.0,53.0
104_5.tif,DB4_B,1.0,46.0,38.0,61.0,63.0
104_6.tif,DB4_B,0.9381433512372186,31.0,38.0,59.0,57.0
104_7.tif,DB4_B,0.854593390561693,33.0,34.0,55.0,50.0
104_8.tif,DB4_B,1.0,36.0,44.0,63.0,56.0
105_1.tif,DB4_B,0.7356795641049844,19.0,30.0,46.0,47.0
105_2.tif,DB4_B,0.4265212914538098,24.0,40.0,46.0,51.0
105_3.tif,DB4_B,0.6525783585763746,29.0,36.0,49.0,47.0
105_4.tif,DB4_B,0.5537989165557118,27.0,35.0,48.0,54.0
105_5.tif,DB4_B,0.4063606998354235,33.0,45.0,46.0,51.0
105_6.tif,DB4_B,0.46896286036684237,26.0,46.0,43.0,56.0
105_7.tif,DB4_B,0.4649350959639191,29.0,30.0,53.0,57.0
105_8.tif,DB4_B,0.4743441786157221,30.0,37.0,54.0,59.0
106_1.tif,DB4_B,1.0,14.0,36.0,41.0,40.0
106_2.tif,DB4_B,0.8825655141375329,24.0,34.0,48.0,53.0
106_3.tif,DB4_B,0.8017226824264809,24.0,37.0,47.0,47.0
106_4.tif,DB4_B,0.6541993644422655,37.0,40.0,46.0,46.0
106_5.tif,DB4_B,1.0,19.0,32.0,34.0,43.0
106_6.tif,DB4_B,0.49774068236031466,23.0,41.0,39.0,50.0
106_7.tif,DB4_B,0.6138872450686534,26.0,46.0,43.0,45.0
106_8.tif,DB4_B,0.9696488129011839,28.0,39.0,44.0,38.0
107_1.tif,DB4_B,0.6126390452854481,31.0,48.0,63.0,62.0
107_2.tif,DB4_B,0.731509296207454,33.0,49.0,57.0,63.0
107_3.tif,DB4_B,1.0,32.0,48.0,50.0,45.0
107_4.tif,DB4_B,0.9551056402478741,26.0,51.0,50.0,59.0
107_5.tif,DB4_B,0.7108215837507991,46.0,41.0,52.0,58.0
107_6.tif,DB4_B,0.5420502998877708,47.0,48.0,63.0,63.0
107_7.tif,DB4_B,1.0,18.0,27.0,37.0,35.0
107_8.tif,DB4_B,0.8443474888995807,18.0,40.0,61.0,55.0
108_1.tif,DB4_B,0.5991490833481795,31.0,27.0,43.0,35.0
108_2.tif,DB4_B,1.0,23.0,33.0,27.0,26.0
108_3.tif,DB4_B,1.0,8.0,5.0,24.0,21.0
108_4.tif,DB4_B,1.0,26.0,35.0,46.0,29.0
108_5.tif,DB4_B,1.0,11.0,22.0,30.0,16.0
108_6.tif,DB4_B,1.0,5.0,32.0,33.0,24.0
108_7.tif,DB4_B,0.7680852309614311,28.0,43.0,40.0,40.0
108_8.tif,DB4_B,0.9387755464375008,43.0,37.0,44.0,35.0
109_1.tif,DB4_B,0.9943623101024581,12.0,22.0,45.0,45.0
109_2.tif,DB4_B,0.7517825237360737,19.0,40.0,50.0,47.0
109_3.tif,DB4_B,0.6326145923915454,24.0,28.0,40.0,43.0
109_4.tif,DB4_B,1.0,5.0,21.0,28.0,22.0
109_5.tif,DB4_B,0.4866604455005627,24.0,39.0,44.0,41.0
109_6.tif,DB4_B,1.0,9.0,24.0,41.0,26.0
109_7.tif,DB4_B,1.0,14.0,35.0,30.0,18.0
109_8.tif,DB4_B,0.5558294743905277,31.0,38.0,47.0,46.0
110_1.tif,DB4_B,1.0,5.0,21.0,36.0,24.0
110_2.tif,DB4_B,1.0,12.0,30.0,26.0,16.0
110_3.tif,DB4_B,1.0,3.0,23.0,23.0,22.0
110_4.tif,DB4_B,1.0,3.0,8.0,14.0,8.0
110_5.tif,DB4_B,1.0,5.0,16.0,25.0,20.0
110_6.tif,DB4_B,1.0,8.0,26.0,26.0,22.0
110_7.tif,DB4_B,0.6952708837150284,15.0,45.0,40.0,42.0
110_8.tif,DB4_B,0.6210167289209408,22.0,34.0,50.0,48.0
